Time (s),Temp (C),Degree of Cure,Cure Rate
643.02,90.2145,0.588047454,0.00155416
644.022,90.2144,0.58958651,0.001551499
645.018,90.2141,0.591113681,0.001548792
646.02,90.2139,0.592647536,0.001546256
647.022,90.214,0.594178809,0.001543653
648.018,90.2134,0.595698,0.001540699
649.02,90.2134,0.597223813,0.001538149
650.022,90.2134,0.598746773,0.001535273
651.018,90.2129,0.600257809,0.001532429
652.02,90.2128,0.601775497,0.001529957
653.022,90.2124,0.60328991,0.001526657
654.018,90.212,0.604791764,0.001523116
655.02,90.2116,0.606299973,0.001520403
656.022,90.2114,0.607804786,0.001516979
657.018,90.2111,0.609297328,0.001513673
658.02,90.2111,0.6107958,0.001510588
659.022,90.211,0.612291323,0.001507614
660.018,90.2106,0.613775254,0.00150494
661.02,90.2102,0.615264805,0.001501594
662.022,90.2102,0.61675076,0.001497968
663.018,90.2096,0.618224549,0.001494655
664.02,90.2098,0.619704144,0.001491557
665.022,90.2098,0.621180336,0.001488127
666.018,90.2093,0.622644633,0.001485029
667.02,90.2091,0.624114498,0.001481748
668.022,90.2085,0.625580798,0.001478155
669.018,90.2079,0.627035398,0.001475194
670.02,90.2081,0.628495455,0.001471861
671.022,90.2077,0.629950977,0.001467289
672.018,90.2076,0.631395107,0.001464576
673.02,90.2068,0.632844205,0.001460813
674.022,90.2069,0.634289466,0.001456946
675.018,90.2063,0.63572224,0.001453059
676.02,90.2063,0.637159841,0.001449224
677.022,90.2061,0.63859338,0.001445128
678.018,90.2058,0.640014804,0.001441548
679.02,90.2054,0.641441374,0.001438104
680.022,90.2054,0.642862821,0.001432939
681.018,90.205,0.644272579,0.001429717
682.02,90.205,0.645686108,0.001424956
683.022,90.2048,0.64709567,0.001420958
684.018,90.2043,0.648492689,0.001416798
685.02,90.204,0.649894947,0.001413595
686.022,90.2034,0.651293388,0.001409747
687.018,90.2035,0.652679893,0.001406134
688.02,90.2026,0.654070435,0.001401784
689.022,90.2031,0.655457451,0.00139823
690.018,90.2025,0.656831493,0.001393495
691.02,90.202,0.658209717,0.001389367
692.022,90.2019,0.65958338,0.001384769
693.018,90.2016,0.660944876,0.001380771
694.02,90.2012,0.662310025,0.001376186
695.022,90.2008,0.663671461,0.001372443
696.018,90.2011,0.665020043,0.001367675
697.02,90.2003,0.666372376,0.001363266
698.022,90.1999,0.667719961,0.001358479
699.018,90.1997,0.669055077,0.001354019
700.02,90.1993,0.670392951,0.00134869
701.022,90.1989,0.671727208,0.001345045
702.018,90.1987,0.673048389,0.001339886
703.02,90.1981,0.674372748,0.001335066
